id_venta;fecha;producto;categoria;precio;cantidad;ciudad;metodo_pago;cliente_satisfecho
29;26/04/2024;       Monitor    r;Periféricos;156939.88;1;   Barranquilla;Tarjeta;No
30;17/05/2024;       Monitor    r;Accesorios;2996280.14;5;Bogotá;Transferencia;Sí
31;17/03/2024;TeCladO;Accesorios;2467247.64;5;Medellín;Transferencia;si
32;13/04/2024;       Monitor    r;Periféricos;1667495.79;6;bogotá;tarjeta;si
33;18/05/2024;       Monitor    r;Periféricos;355952.05;3;bogotá;Transferencia;No
34;21/02/2024;Laptop;Accesorios;1728281.32;5;BOGOTA;Transferencia;nan
35;6/04/2024;TeCladO;Electrónica;1665049.12;7;bogotá;Tarjeta;NO
36;13/04/2024;Audefenes;Electrónica;618608.52;5;Cali;tarjeta;NO
37;26/01/2024;TeCladO;Accesorios;1526973.0;5;;nan;si
38;6/06/2024;Audefenes;Electrónica;;5;BOGOTA;Tarjeta;No
39;26/01/2024;Laptop;Accesorios;2161237.59;3;Cali;Tarjeta;NO
40;16/02/2024;Mouse;Electrónica;;1;Cali;nan;si
41;12/05/2024;       Monitor    r;Electrónica;172884.47;5;Bogotá;Transferencia;nan
42;29/03/2024;Laptop;Periféricos;1320524.96;9;bogotá;Efectivo;NO
43;26/02/2024;       Monitor    r;Periféricos;2196121.81;1;Medellín;tarjeta;si
44;29/02/2024;Mouse;Electrónica;1768429.86;3;Medellín;Efectivo;si
45;27/04/2024;Mouse;Electrónica;2999867.1;4;BOGOTA;nan;Sí
46;7/02/2024;Laptop;Periféricos;2310547.31;1;Medellín;Tarjeta;nan
47;11/01/2024;Mouse;Periféricos;582826.48;1;   Barranquilla;Tarjeta;Sí
48;13/01/2024;Audefenes;Periféricos;260932.08;8;Medellín;tarjeta;No
49;19/05/2024;Mouse;Accesorios;2253831.18;2;BOGOTA;Tarjeta;Sí
50;23/05/2024;       Monitor    r;Electrónica;107391.92;8;Medellín;Tarjeta;Sí
51;6/03/2024;       Monitor    r;Periféricos;2056427.9;7;   Barranquilla;tarjeta;NO
52;15/04/2024;       Monitor    r;Electrónica;3291702.39;2;Bogotá;tarjeta;si
53;10/04/2024;       Monitor    r;Accesorios;2020527.51;6;BOGOTA;nan;nan
54;23/05/2024;Audefenes;Accesorios;1367772.19;6;Bogotá;Tarjeta;Sí
55;1/04/2024;TeCladO;Periféricos;2256859.44;3;Bogotá;Tarjeta;nan
56;29/04/2024;Laptop;Accesorios;1612011.32;2;Bogotá;nan;Sí
57;18/02/2024;       Monitor    r;Electrónica;1916474.51;1;Cali;Transferencia;No
58;11/04/2024;Mouse;Periféricos;3296004.86;6;bogotá;Transferencia;Sí
59;28/05/2024;       Monitor    r;Electrónica;1360567.69;5;Cali;Transferencia;NO
60;16/04/2024;Mouse;Electrónica;3364749.11;9;;nan;si
61;18/02/2024;Mouse;Accesorios;3170146.99;1;Bogotá;Tarjeta;No
62;1/05/2024;       Monitor    r;Accesorios;697332.1;7;BOGOTA;nan;Sí
63;1/06/2024;Audefenes;Accesorios;256724.13;5;bogotá;nan;nan
64;22/05/2024;Mouse;Accesorios;366211.33;5;   Barranquilla;Transferencia;No
65;7/03/2024;Mouse;Accesorios;78503.06;2;   Barranquilla;Efectivo;No
66;1/06/2024;       Monitor    r;Periféricos;344133.72;3;Medellín;Tarjeta;Sí
67;25/02/2024;Mouse;Electrónica;2395278.61;7;bogotá;Transferencia;No
68;17/04/2024;Mouse;Electrónica;263092.44;6;BOGOTA;Efectivo;nan
69;21/03/2024;       Monitor    r;Electrónica;1126630.07;2;Cali;Efectivo;No
70;25/03/2024;       Monitor    r;Electrónica;2959390.46;6;Bogotá;tarjeta;nan
71;30/03/2024;Laptop;Accesorios;96102.7;2;Medellín;Tarjeta;Sí
72;23/01/2024;Audefenes;Electrónica;;2;   Barranquilla;Efectivo;si
73;4/01/2024;Audefenes;Periféricos;997263.89;2;Cali;Transferencia;No
74;4/01/2024;Mouse;Periféricos;426804.42;3;Cali;tarjeta;si
75;26/05/2024;Audefenes;Electrónica;2443129.02;2;Bogotá;Tarjeta;nan
76;1/02/2024;Mouse;Electrónica;;4;bogotá;nan;No
77;30/01/2024;Laptop;Periféricos;3072989.97;9;   Barranquilla;Transferencia;NO
78;11/04/2024;       Monitor    r;Periféricos;2576722.59;6;BOGOTA;Efectivo;si
79;5/06/2024;       Monitor    r;Accesorios;2815131.04;1;Cali;Efectivo;No
80;27/01/2024;       Monitor    r;Periféricos;997890.49;8;Bogotá;Transferencia;si
81;3/02/2024;Audefenes;Accesorios;633376.81;7;BOGOTA;Efectivo;No
82;28/02/2024;Laptop;Accesorios;2630892.41;3;bogotá;tarjeta;Sí
83;30/05/2024;Audefenes;Accesorios;2826819.07;1;   Barranquilla;Tarjeta;si
84;9/01/2024;Audefenes;Accesorios;3466910.42;5;bogotá;tarjeta;NO
85;22/05/2024;Laptop;Accesorios;1452972.6;4;Cali;Efectivo;NO
86;27/04/2024;Laptop;Electrónica;1311483.03;8;BOGOTA;nan;nan
87;15/05/2024;Laptop;Periféricos;2720799.17;1;BOGOTA;Tarjeta;No
88;8/01/2024;Laptop;Accesorios;1202700.34;1;BOGOTA;Tarjeta;si
89;25/02/2024;       Monitor    r;Periféricos;3258689.28;4;Cali;Transferencia;nan
90;14/03/2024;TeCladO;Periféricos;3006568.44;8;;Transferencia;si
91;16/01/2024;TeCladO;Accesorios;1510044.19;5;bogotá;nan;No
92;27/02/2024;Laptop;Electrónica;2631785.67;2;Medellín;Tarjeta;NO
93;8/05/2024;TeCladO;Accesorios;2644581.92;6;bogotá;nan;Sí
94;8/02/2024;TeCladO;Electrónica;374386.68;5;   Barranquilla;Transferencia;NO
95;7/04/2024;Laptop;Periféricos;3160396.88;2;Bogotá;Transferencia;nan
96;19/04/2024;TeCladO;Electrónica;1775804.52;3;BOGOTA;Tarjeta;Sí
97;26/02/2024;Audefenes;Electrónica;2895204.27;9;Medellín;tarjeta;nan
98;9/01/2024;Mouse;Electrónica;1130372.86;7;Bogotá;Efectivo;No
99;11/04/2024;Mouse;Periféricos;3135898.45;7;Medellín;Transferencia;Sí
100;19/02/2024;Laptop;Periféricos;1371367.85;6;bogotá;Transferencia;nan
101;1/05/2024;       Monitor    r;Electrónica;52769.22;8;Cali;tarjeta;No
102;25/05/2024;Laptop;Electrónica;3170256.19;4;BOGOTA;tarjeta;NO
103;5/04/2024;       Monitor    r;Accesorios;333134.07;8;bogotá;nan;No
104;17/05/2024;Mouse;Electrónica;1127808.03;4;Bogotá;nan;si
105;31/05/2024;Laptop;Accesorios;3325965.96;8;Bogotá;Efectivo;No
106;2/02/2024;Audefenes;Electrónica;3327865.91;9;Bogotá;Efectivo;No
107;9/03/2024;TeCladO;Accesorios;2013431.04;3;Bogotá;Tarjeta;si
108;8/03/2024;       Monitor    r;Periféricos;2216952.68;3;Bogotá;nan;nan
109;17/01/2024;TeCladO;Electrónica;1577832.64;2;Medellín;Transferencia;nan
110;2/05/2024;TeCladO;Electrónica;1036839.54;3;bogotá;nan;No
111;14/03/2024;Laptop;Electrónica;1160395.94;3;BOGOTA;Transferencia;si
112;12/06/2024;TeCladO;Electrónica;2358726.82;5;Cali;tarjeta;si
113;8/04/2024;Audefenes;Accesorios;2637025.24;5;Cali;nan;NO
114;23/02/2024;TeCladO;Electrónica;2773652.97;2;bogotá;tarjeta;nan
115;28/05/2024;Laptop;Periféricos;2766819.23;6;bogotá;Efectivo;Sí
116;21/02/2024;Audefenes;Periféricos;332853.27;5;Cali;Efectivo;nan
117;16/06/2024;Mouse;Electrónica;1738054.76;6;Cali;Tarjeta;nan
118;26/04/2024;TeCladO;Periféricos;215592.28;1;Medellín;nan;NO
119;2/06/2024;Laptop;Electrónica;1930108.15;5;   Barranquilla;tarjeta;Sí
120;10/05/2024;Mouse;Electrónica;1553733.8;9;BOGOTA;Transferencia;NO
121;25/05/2024;Mouse;Periféricos;3108649.08;2;Bogotá;Efectivo;Sí
122;2/04/2024;       Monitor    r;Electrónica;1237938.82;1;   Barranquilla;Efectivo;No
123;8/04/2024;Audefenes;Periféricos;422978.55;9;bogotá;Transferencia;Sí
124;5/03/2024;TeCladO;Accesorios;;9;Cali;tarjeta;NO
125;17/02/2024;Laptop;Electrónica;2668864.55;9;   Barranquilla;tarjeta;nan
126;18/06/2024;       Monitor    r;Accesorios;2169489.95;6;BOGOTA;nan;Sí
127;3/03/2024;Audefenes;Periféricos;367412.53;8;bogotá;nan;Sí
128;25/01/2024;       Monitor    r;Accesorios;308112.22;1;Bogotá;Tarjeta;si
129;15/04/2024;Audefenes;Accesorios;2457877.42;4;Bogotá;Efectivo;nan
130;7/02/2024;Audefenes;Periféricos;268579.08;1;BOGOTA;nan;No
131;19/06/2024;TeCladO;Accesorios;2879182.31;8;BOGOTA;tarjeta;NO
132;1/02/2024;Audefenes;Accesorios;2476254.16;1;Cali;Transferencia;No
133;7/03/2024;       Monitor    r;Periféricos;;3;Bogotá;tarjeta;nan
134;9/03/2024;Audefenes;Accesorios;310659.43;4;bogotá;Efectivo;Sí
135;3/05/2024;TeCladO;Periféricos;3453438.93;8;   Barranquilla;tarjeta;Sí
136;23/01/2024;TeCladO;Accesorios;1319333.72;6;bogotá;Tarjeta;nan
137;14/03/2024;       Monitor    r;Periféricos;1306687.88;7;Medellín;Efectivo;Sí
138;27/06/2024;Mouse;Periféricos;2847606.49;8;Medellín;Transferencia;Sí
139;11/05/2024;Mouse;Accesorios;;2;BOGOTA;Tarjeta;Sí
140;30/04/2024;Audefenes;Accesorios;3451213.71;8;Cali;Efectivo;NO
141;22/02/2024;Laptop;Accesorios;2640522.98;3;Medellín;Transferencia;NO
142;28/04/2024;Audefenes;Electrónica;1326264.66;7;Bogotá;Tarjeta;si
143;12/05/2024;       Monitor    r;Electrónica;306000.0;3;bogotá;Tarjeta;No
144;14/05/2024;       Monitor    r;Electrónica;2723357.0;7;bogotá;Efectivo;nan
145;15/02/2024;       Monitor    r;Periféricos;1961038.81;2;BOGOTA;nan;nan
146;1/03/2024;       Monitor    r;Accesorios;1493413.7;6;;Tarjeta;nan
147;9/01/2024;       Monitor    r;Periféricos;3173645.03;3;BOGOTA;Tarjeta;si
148;24/04/2024;TeCladO;Electrónica;402523.23;3;   Barranquilla;Transferencia;NO
149;6/06/2024;Mouse;Accesorios;1731798.49;9;BOGOTA;tarjeta;si
150;2/04/2024;       Monitor    r;Periféricos;54567.45;7;BOGOTA;Efectivo;nan
151;9/06/2024;Laptop;Accesorios;1648282.34;5;BOGOTA;Efectivo;No
152;23/03/2024;Laptop;Periféricos;211216.92;7;   Barranquilla;nan;Sí
153;18/06/2024;Laptop;Accesorios;;9;   Barranquilla;nan;NO
154;1/01/2024;Laptop;Electrónica;424578.97;1;BOGOTA;Efectivo;NO
155;19/05/2024;TeCladO;Electrónica;2277497.9;7;Medellín;nan;si
156;23/04/2024;Laptop;Accesorios;2614966.4;6;Cali;Transferencia;NO
157;8/06/2024;       Monitor    r;Periféricos;2048040.15;9;Cali;Efectivo;nan
158;12/03/2024;Audefenes;Electrónica;3368171.33;1;Cali;nan;nan
159;21/03/2024;Laptop;Electrónica;1321423.97;4;   Barranquilla;Efectivo;si
160;4/04/2024;TeCladO;Electrónica;1010706.62;9;   Barranquilla;tarjeta;nan
161;16/02/2024;TeCladO;Accesorios;3042067.96;4;Medellín;Tarjeta;No
162;2/01/2024;Laptop;Accesorios;794231.5;3;Cali;Efectivo;si
163;16/03/2024;Audefenes;Periféricos;3371830.55;9;Cali;Tarjeta;No
164;5/03/2024;Laptop;Periféricos;57358.34;2;BOGOTA;nan;Sí
165;2/02/2024;TeCladO;Periféricos;3395027.71;4;   Barranquilla;Tarjeta;No
166;12/02/2024;Mouse;Accesorios;165412.29;6;Cali;Efectivo;Sí
167;31/05/2024;       Monitor    r;Accesorios;3120633.75;2;bogotá;tarjeta;Sí
168;7/01/2024;TeCladO;Periféricos;1854038.37;8;Medellín;nan;No
169;13/04/2024;Laptop;Periféricos;3475482.31;8;bogotá;Efectivo;si
170;1/06/2024;       Monitor    r;Accesorios;;1;bogotá;nan;nan
171;4/04/2024;Laptop;Periféricos;1945182.18;3;Medellín;Transferencia;nan
172;6/05/2024;Laptop;Electrónica;3393019.34;9;bogotá;Tarjeta;Sí
173;14/01/2024;Mouse;Accesorios;1837995.99;5;Cali;Transferencia;Sí
174;25/05/2024;       Monitor    r;Periféricos;2208454.25;6;   Barranquilla;Efectivo;si
175;21/01/2024;       Monitor    r;Accesorios;2439684.18;4;Medellín;tarjeta;NO
176;29/04/2024;Mouse;Electrónica;;2;;nan;No
177;10/06/2024;TeCladO;Accesorios;2202039.91;8;bogotá;Tarjeta;Sí
178;21/06/2024;Laptop;Accesorios;2051335.38;6;Medellín;nan;nan
179;14/02/2024;Audefenes;Accesorios;3155535.67;5;Bogotá;Efectivo;si
180;23/05/2024;Laptop;Accesorios;173380.64;9;Bogotá;nan;No
181;26/06/2024;Laptop;Electrónica;994156.72;1;   Barranquilla;Tarjeta;si
182;10/02/2024;TeCladO;Accesorios;3327184.02;5;Cali;Efectivo;No
183;4/02/2024;Laptop;Accesorios;3117569.29;6;   Barranquilla;nan;No
184;18/06/2024;Mouse;Periféricos;1602963.78;5;   Barranquilla;tarjeta;Sí
185;30/04/2024;Mouse;Accesorios;2176162.1;6;   Barranquilla;Efectivo;si
186;21/04/2024;       Monitor    r;Periféricos;981673.42;6;   Barranquilla;Efectivo;si
187;23/03/2024;Audefenes;Electrónica;;7;BOGOTA;tarjeta;nan
188;26/04/2024;Laptop;Electrónica;1630988.94;4;BOGOTA;Transferencia;nan
189;15/04/2024;Laptop;Electrónica;1246432.51;8;Medellín;Tarjeta;Sí
190;22/02/2024;TeCladO;Electrónica;2049041.55;7;Bogotá;Transferencia;Sí
191;31/05/2024;Mouse;Periféricos;285905.21;9;   Barranquilla;nan;NO
192;12/05/2024;Audefenes;Accesorios;3410765.9;7;Medellín;tarjeta;nan
193;1/01/2024;       Monitor    r;Electrónica;3451944.44;3;Bogotá;Transferencia;No
194;30/04/2024;Mouse;Accesorios;2448093.57;3;bogotá;Efectivo;si
195;18/02/2024;       Monitor    r;Periféricos;;8;Cali;nan;Sí
196;7/03/2024;TeCladO;Periféricos;1093703.74;5;BOGOTA;nan;si
197;19/03/2024;TeCladO;Periféricos;2851075.64;4;;Transferencia;si
198;10/03/2024;Laptop;Electrónica;2401288.14;8;;Transferencia;NO
199;3/02/2024;Audefenes;Accesorios;581720.03;6;bogotá;tarjeta;nan
200;24/05/2024;       Monitor    r;Accesorios;3189581.24;2;Cali;Tarjeta;Sí
11;14/04/2024;       Monitor    r;Periféricos;618930.71;8;bogotá;nan;NO
12;26/02/2024;TeCladO;Periféricos;560183.09;1;Bogotá;Tarjeta;si
13;29/04/2024;Audefenes;Periféricos;887096.5;6;Medellín;Efectivo;Sí
14;23/05/2024;Mouse;Accesorios;1929054.93;1;Cali;tarjeta;si
15;4/01/2024;       Monitor    r;Periféricos;2505366.79;2;;Tarjeta;nan
